VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
1.69411765,242,1.69411765,1,0.0017647000000000634,-0.7490204444444355
1.69588235,243,1.69588235,243,0.005294120000000069,-0.24705848888887916
1.69764706,243,1.70117647,244,0.00705881999999991,0.003921066666653816
1.69941176,243,1.70823529,245,0.008823530000000135,0.2549020444444636
1.70117647,244,1.71705882,246,0.007058829999999849,0.00392248888886737
1.70294118,244,1.72411765,247,,
1.70470588,244,,,,
1.70647059,244,,,,
1.70823529,245,,,,
1.71,245,,,,
1.71176471,245,,,,
1.71352941,245,,,,
1.71529412,245,,,,
1.71705882,246,,,,
1.71882353,246,,,,
1.72058824,246,,,,
1.72235294,246,,,,
1.72411765,247,,,,
1.72588235,247,,,,
1.72764706,247,,,,
1.72941176,247,,,,
