Index,Vin,Code
0,0.565106766,81.0
1,0.555544884,80.0
2,0.546034875,78.0
3,0.536578173,77.0
4,0.5271762,76.0
5,0.517830373,74.0
6,0.508542099,73.0
7,0.499312777,72.0
8,0.490143798,70.0
9,0.481036541,69.0
10,0.471992379,68.0
11,0.463012673,66.0
12,0.454098776,65.0
13,0.445252029,64.0
14,0.436473767,64.0
15,0.427765309,61.0
16,0.419127968,60.0
17,0.410563045,59.0
18,0.402071829,58.0
19,0.3936556,56.0
20,0.385315624,55.0
21,0.377053157,54.0
22,0.368869445,53.0
23,0.360765718,52.0
24,0.352743199,50.0
25,0.344803094,49.0
26,0.3369466,48.0
27,0.329174899,47.0
28,0.321489163,46.0
29,0.313890549,45.0
30,0.3063802,44.0
31,0.298959248,43.0
